Unnamed: 0,ID,RAdeg,DECdeg,G_mag,g_mag,g_r,logExcess,Gp_G,Pext,Pgc
13049,391049939014016256,7.032969,48.10094,20.168,19.11,0.881,0.982,-2.039,1.0,0.01
3190,321074201518730624,19.454787,35.77276,20.744,19.066,0.584,1.096,-2.477,0.99,0.0
19527,2874077013656711936,1.63794,32.667469,20.572,19.258,1.009,1.124,-2.144,1.0,0.0
19973,2875041491512219264,0.219289,33.47983,20.257,19.415,0.752,0.898,-1.747,1.0,0.06
882,312071499093817216,13.579996,30.007557,21.205,19.089,0.675,1.299,-2.764,1.0,0.01
2227,316480545015990016,20.615845,32.273751,20.484,18.615,0.739,1.351,-2.739,1.0,0.34
6183,368886361573640320,12.04974,39.784633,20.401,19.328,0.944,0.923,-2.079,1.0,0.0
11601,385785133737116928,5.293949,44.625155,18.52,18.922,0.811,0.272,-0.337,0.69,0.01
18062,2861185652137562752,2.068258,30.43215,20.501,19.001,1.008,1.134,-2.398,1.0,0.0
614,311396815566745600,15.186037,29.351877,20.936,19.349,0.502,0.931,-2.003,0.98,0.26
12857,390130197535359488,12.08884,46.776411,21.005,18.583,0.985,1.569,-3.296,1.0,0.12
9645,379352372240167296,7.519416,39.678329,17.356,18.584,1.296,0.419,-0.545,0.54,0.28
7600,372801997358117632,17.969698,41.439972,20.7,19.5,0.789,1.169,-2.257,1.0,0.04
122,309204763042812544,21.714275,29.430011,20.918,19.061,0.942,1.181,-2.675,0.99,0.07
8993,376225670408592128,16.693372,43.28815,20.236,18.998,0.826,1.039,-2.15,0.99,0.0
17259,2859410829915982336,9.711827,31.345797,21.813,19.332,0.689,1.485,-3.041,1.0,0.02
2515,315645706453978880,21.796663,31.586685,21.001,18.567,0.727,1.499,-3.38,1.0,0.02
16673,416224559101799680,10.371809,52.924715,18.003,19.483,1.352,0.119,0.072,0.55,0.01
4761,364782120890441728,13.850775,38.415783,21.03,19.191,0.379,1.199,-2.478,1.0,0.0
6648,369424297637499520,16.54999,36.820069,19.886,18.68,0.849,0.948,-1.995,1.0,0.01
7777,372827595363323136,19.133406,41.427903,19.783,18.833,0.888,0.838,-1.776,0.99,0.04
13352,392057778856378752,4.784388,46.855505,19.526,18.805,0.671,0.89,-1.75,0.88,0.04
