Object ID,RADEG,DECDEG,Nearest field,Distance to nearest field
3.084507085200513e+17,16.336431,29.349694,m019,200.33529102071228
3.0901396341785805e+17,19.192479,29.373932,m017,105.13865482032107
2.971953816481974e+17,22.162223,29.431756,m008,58.285588209347466
3.084204676552968e+17,17.350642,29.477303,m032,193.43901796533717
3.092242106544444e+17,21.524008,29.706177,m016,25.33839086461142
3.094673788187237e+17,20.33798,30.372822,m027,45.06084931820336
3.092337669575784e+17,21.802705,29.900503,m018,54.24102499454445
3.100454427612255e+17,18.329422,30.086679,m031,125.61434512212898
3.101736389454999e+17,17.96719,31.037115,m032,42.76268463615139
3.102120230682984e+17,19.700064,30.379772,m029,51.708033768611415
3.106851910257572e+17,19.392978,31.988215,m047,36.084273122684394
3.106248896846614e+17,19.877649,31.866841,m047,35.061880110817185
3.1063227702862886e+17,19.522252,31.804447,m047,12.469337872927408
3.112340534861765e+17,14.428196,29.453917,m009,47.79026740975044
3.101646753491478e+17,18.34939,31.025089,m031,28.083545990224966
3.105349702492165e+17,19.260823,31.632043,m047,29.64322479467643
3.1129576357582746e+17,13.867349,29.6278,m009,36.75956669430611
3.101127921434145e+17,18.542014,30.93022,m031,29.86692492494486
3.1267568502884275e+17,14.458097,31.484737,m035,24.07033847514789
3.102725649273952e+17,19.449063,30.760162,m029,4.465395725889992
3.102738018780974e+17,19.16335,30.570532,m029,38.32055270906034
3.102836974827914e+17,19.291307,30.788335,m029,16.554592275330585
3.102891606811451e+17,19.314082,30.909413,m029,18.935388577851047
3.104813690574088e+17,19.061672,31.033796,m029,46.49159882296186
3.105137702907314e+17,19.662198,31.373767,m047,37.24472191216316
3.1277470979510694e+17,13.656051,31.413066,m036,19.147797963781816
3.128089320945175e+17,12.902998,31.325471,m042,53.822295671897066
3.124445470688147e+17,14.144032,30.259011,m019,40.454215134585965
3.124466086531959e+17,14.294257,30.230513,m019,26.687633264698057
3.119707563412479e+17,12.116621,29.430707,m011,35.35581435868405
3.120727746999393e+17,13.498086,29.972132,m020,37.50538126572968
3.121040377667766e+17,12.871069,29.945715,m021,64.68263887989188
3.129461305300883e+17,13.90612,32.185427,m059,54.1961657056002
3.129838188671137e+17,13.866578,32.350021,m059,49.249823634335335
3.115477192446518e+17,15.603309,30.052838,m019,103.29457534756801
3.126082325668444e+17,14.86149,31.240104,m035,28.75260782638054
3.1249811390055795e+17,14.199332,30.792138,m035,65.19698064485894
3.126219807582162e+17,15.309273,31.230992,m034,24.35452863669302
3.1216949306799706e+17,12.08027,29.624964,m011,43.39688125028403
3.1193444239330394e+17,12.895909,29.401291,m010,8.694204164853458
3.131668918489535e+17,17.423564,31.158984,m032,14.41514538943929
3.1317190836997056e+17,17.495096,31.167333,m032,7.9293224926349
3.1317242376652685e+17,17.576348,31.21513,m032,1.4530837833409167
3.132016982639241e+17,17.699948,31.474258,m032,32.376637057752255
3.1288235885565734e+17,13.830973,31.749219,m036,57.65157156137294
3.133023680016319e+17,16.106974,31.056905,m033,47.369543632401474
3.1330814473312486e+17,16.171378,31.080392,m033,40.702736289149634
3.122299318475301e+17,11.646994,29.863805,m011,58.4469742947847
3.1225577466628275e+17,11.732179,30.200946,m022,47.825582224559234
3.122981402242523e+17,12.656703,30.091766,m021,38.48002251252339
3.132101507595443e+17,17.972214,31.692492,m051,59.55135717637643
3.132261237433979e+17,17.306045,31.39868,m032,32.48661199339557
3.132506952506328e+17,17.641015,31.616841,m032,46.134550938919645
3.130389018226619e+17,17.291013,30.522509,m032,80.47155723525634
3.1254656113232435e+17,14.088517,30.890359,m035,63.31375070629351
3.1255985835105e+17,14.245235,31.152344,m035,33.88636927740971
3.135704126154369e+17,18.351405,31.635004,m031,52.60830737028918
3.1360146952401805e+17,18.763221,31.933288,m050,18.331879299487476
