FieldID,coord_ra_deg,coord_dec_deg
m001,24.564180555555552,27.63814351851852
m002,23.464173611111107,27.658143518518518
m003,22.36417361111111,27.93813425925926
m004,24.56419444444444,28.638148148148147
m005,23.464194444444445,28.658152777777776
m006,25.663983333333327,28.668330555555553
m007,21.264194444444442,28.738134259259258
m008,22.36419444444444,28.93812962962963
m009,13.964201388888887,29.30814814814815
m010,12.864201388888887,29.32814814814815
m011,11.76420833333333,29.34815277777778
m012,26.763898809523802,29.59840873015873
m013,24.564215277777777,29.638148148148147
m014,23.464201388888885,29.658148148148147
m015,25.66421296296296,29.66814814814815
m016,21.264208333333332,29.738143518518523
m017,20.164215277777775,29.798148148148147
m018,22.36386111111111,29.937839506172843
m019,14.563916666666666,30.288412698412703
m020,13.464229166666664,30.308152777777778
m021,12.36423611111111,30.32814814814815
m022,11.264229166666665,30.34815277777778
m023,26.764236111111103,30.598138888888887
m024,24.564229166666664,30.638152777777776
m025,25.664222222222218,30.668152777777777
m026,23.462050766283525,30.660380587484035
m027,20.564243055555554,30.728143518518518
m028,21.66423611111111,30.73815277777778
m029,19.464243055555553,30.79814351851852
m030,22.764024999999997,30.88833055555556
m031,18.56425,31.19814351851852
m032,17.56425,31.20714814814815
m033,16.56425,31.22513425925926
m034,15.564250000000001,31.25213888888889
m035,14.56425,31.28814814814815
m036,13.483833333333331,31.323453703703706
m037,11.214256944444443,31.33815277777778
m038,7.764243055555554,31.338157407407408
m039,8.914249999999997,31.33813425925926
m040,10.064243055555554,31.33815277777778
m041,6.614249999999999,31.33814814814815
m042,12.336940476190474,31.348611111111115
m043,23.909339285714285,31.3590753968254
m044,26.06425694444444,31.61814351851852
m045,24.96425694444444,31.63814351851852
m046,20.70426388888889,31.66814814814815
m047,19.564256944444445,31.69814814814815
m048,21.81425694444444,31.738143518518523
m049,22.915388888888884,31.848203703703703
m050,18.76427083333333,32.09814814814815
m051,17.76427083333333,32.19814814814814
m052,16.81426388888889,32.19814814814814
m053,15.66290476190476,32.21912698412699
m054,5.251362499999999,32.225611111111114
m055,6.414263888888889,32.23814814814815
m056,14.505798611111109,32.264518518518514
m057,7.564263888888888,32.28814351851852
m058,24.014277777777775,32.28814351851852
m059,13.34586111111111,32.29948148148148
m060,12.183555555555555,32.32387037037037
m061,8.692097222222221,32.33298148148148
m062,11.020238095238094,32.3376626984127
m063,9.855729166666665,32.340620370370374
m064,19.872194444444442,32.59814814814815
m065,26.214277777777777,32.59814351851852
m066,20.86455833333333,32.61819166666667
m067,25.114291666666663,32.61814814814815
m068,21.964527777777775,32.7105925925926
m069,23.11428472222222,32.758143518518516
m070,18.90220833333333,33.09815277777778
m071,17.83624583333333,33.11544444444445
m072,3.844208333333333,33.13294444444444
m073,16.679407407407407,33.17637345679012
m074,5.002075,33.19110833333333
m075,15.518153846153846,33.226829059829065
m076,24.263953124999997,33.238086805555554
m077,6.164625,33.23867361111111
m078,14.35308333333333,33.26661388888889
m079,7.330880555555555,33.27547037037037
m080,13.184666666666667,33.2955
m081,8.499826388888888,33.30121604938271
m082,12.014170833333333,33.313469444444436
m083,9.670824999999997,33.31641944444444
m084,10.842404761904762,33.32018650793651
m085,19.844305555555554,33.498157407407405
m086,20.985180555555555,33.576314814814815
m087,25.414305555555554,33.61815277777778
m088,22.114305555555557,33.63814351851852
m089,23.21430555555555,33.70814814814815
m090,18.928513888888887,34.03272222222222
m091,17.7571625,34.100225
m092,3.5456527777777773,34.15328703703704
m093,4.746124999999999,34.160275
m094,16.5842875,34.16213055555555
m095,2.3519374999999996,34.17539351851852
m096,5.923775,34.21155277777778
m097,15.406631944444444,34.21325617283951
m098,24.264319444444443,34.23814814814815
m099,7.105495833333333,34.25160833333333
m100,14.224754629629627,34.25295061728395
