ID,RADEG_x,DECDEG_x,CLASS,DATATABLE,Object ID,RADEG_y,DECDEG_y,Nearest field,Distance to nearest field
B002,10.0107292,41.1982028,1,m31rbcV5,3.811786610569686e+17,10.010676,41.198226,m249,17.617607669292408
B003,10.0392042,41.1849028,1,m31rbcV5,3.8117838617769946e+17,10.03915,41.184821,m249,18.25629771928263
KHM31-37,10.0457292,40.6031583,1,m31rbcV5,3.8112949226987494e+17,10.045747,40.603186,m249,54.760030885374675
B321,10.0639375,40.4629167,1,m31rbcV5,3.6911646874009856e+17,10.064088,40.462775,m233,57.78507099445101
B004,10.074675,41.3778583,1,m31rbcV5,3.8123480486806566e+17,10.074678,41.377864,m249,37.33736910779738
B442,10.0808083,40.6247528,1,m31rbcV5,3.8112942355194e+17,10.080913,40.624732,m249,53.34551903595775
B005,10.0846625,40.7328639,1,m31rbcV5,3.811333062010684e+17,10.084628,40.732861,m249,42.291090091491405
B324,10.0853208,41.6803833,1,m31rbcV5,3.813346542794363e+17,10.085305,41.680388,m265,26.78589154526122
B327,10.1004458,40.6062556,1,m31rbcV5,3.8112863327429914e+17,10.100448,40.606242,m249,55.83362737715239
B328,10.1022042,41.6730972,1,m31rbcV5,3.8133468863281766e+17,10.102407,41.67292,m265,28.39550683975186
B330,10.1066083,41.7149111,1,m31rbcV5,3.8134802020311424e+17,10.10671,41.714915,m265,25.80975095522826
B331,10.1089625,41.7011806,1,m31rbcV5,3.8133479170741875e+17,10.109054,41.70131,m265,26.83483369528002
B006,10.1103667,41.4574194,1,m31rbcV5,3.8123542334334566e+17,10.110347,41.457402,m249,46.590574657119184
B244,10.1104,41.3098778,1,m31rbcV5,3.811867355956174e+17,10.11001,41.309783,m249,32.485166496362446
B008,10.1262042,41.2690917,1,m31rbcV5,3.811849832488256e+17,10.126159,41.269107,m249,29.97144964488759
B009,10.1279292,41.6154472,1,m31rbcV5,3.8133355476145754e+17,10.127916,41.615481,m265,34.40248707769979
B010,10.131525,41.2395944,1,m31rbcV5,3.8118412425550054e+17,10.131516,41.239618,m249,28.091448748059634
B011,10.1328292,41.6546972,1,m31rbcV5,3.81334413754913e+17,10.132827,41.654735,m265,31.62719329465154
B012,10.135275,41.3622861,1,m31rbcV5,3.8123384279539635e+17,10.135252,41.362278,m249,38.441877463449565
B448,10.1521083,40.6708806,1,m31rbcV5,3.811534066480296e+17,10.152216,40.670864,m249,50.987143483750806
B013,10.16015,41.4232556,1,m31rbcV5,3.812346330683443e+17,10.160306,41.423189,m249,45.24703778059269
B015,10.1876208,40.9989167,1,m31rbcV5,3.8116106886961344e+17,10.187615,40.998919,m249,27.777430506095747
B016,10.1881917,41.3694194,1,m31rbcV5,3.811872509901696e+17,10.188227,41.369414,m249,41.73860281065239
PHF7-1,10.1934208,40.8613611,1,m31rbcV5,3.811590072867406e+17,10.193248,40.861304,m249,36.08072073859898
B336,10.1983708,42.1450306,1,m31rbcV5,3.8138200199937446e+17,10.198302,42.144974,m265,44.34716849595149
B337,10.2019875,42.2030722,1,m31rbcV5,3.813840979429688e+17,10.20199,42.203045,m265,49.58446169142963
B017,10.2029833,41.2020028,1,m31rbcV5,3.811808600788653e+17,10.203001,41.201994,m249,30.840661184427653
B018,10.2058625,40.6921611,1,m31rbcV5,3.8115275381059546e+17,10.205874,40.69217,m249,51.20830391862373
B011D,10.21515,40.7350306,1,m31rbcV5,3.811532348506204e+17,10.215252,40.735092,m249,47.74499132429854
B021,10.2458375,41.0941889,1,m31rbcV5,3.811792795284109e+17,10.24581,41.094138,m249,31.254233931082737
B022,10.2461958,41.4116944,1,m31rbcV5,3.812811561604641e+17,10.246175,41.411716,m249,48.44543368626326
B339,10.2529542,39.931725,1,m31rbcV5,3.6908482342331776e+17,10.252957,39.931708,m228,53.70196498270216
B014D,10.2543708,41.1091083,1,m31rbcV5,3.8117944703502016e+17,10.254365,41.109074,m249,32.10196155430999
BH12,10.2620792,40.5828694,1,m31rbcV5,3.691416200708819e+17,10.262034,40.582874,m228,63.49683118138312
B200D,10.2785583,40.5746611,1,m31rbcV5,3.6914155135291456e+17,10.278528,40.574682,m228,61.86654450297523
B248,10.2833083,40.883625,1,m31rbcV5,3.811565677452238e+17,10.283072,40.883564,m249,40.62006685654406
B341,10.28815,40.598025,1,m31rbcV5,3.691416887903562e+17,10.288157,40.598032,m228,63.17193377842841
B024,10.2994208,41.7636583,1,m31rbcV5,3.813416293002026e+17,10.299378,41.763676,m265,38.497883986295726
B025,10.3023375,41.0078278,1,m31rbcV5,3.811663259095859e+17,10.302291,41.00781,m249,36.80020192013216
B027,10.310525,40.9308139,1,m31rbcV5,3.8116258069819546e+17,10.310537,40.930826,m249,40.16381861321444
B026,10.3106458,41.4111639,1,m31rbcV5,3.812807094902076e+17,10.310583,41.411184,m249,52.030306801282826
B028,10.3186792,40.98425,1,m31rbcV5,3.8116611975116134e+17,10.318697,40.984223,m249,38.77474370449344
B020D,10.321825,41.1358861,1,m31rbcV5,3.81169280847056e+17,10.321871,41.135907,m249,38.11196565986664
B029,10.3243417,41.0063444,1,m31rbcV5,3.811661541122701e+17,10.324268,41.006352,m249,38.63679466761222
B030,10.328025,40.9543417,1,m31rbcV5,3.811627181383859e+17,10.328033,40.954342,m249,40.541932751755326
B032,10.3396417,41.2917444,1,m31rbcV5,3.812765863152672e+17,10.339644,41.291727,m249,45.671990759702645
B033,10.3600125,41.0039333,1,m31rbcV5,3.8116622283037414e+17,10.359998,41.003847,m249,41.628455285081856
B034,10.3671375,40.8971167,1,m31rbcV5,3.811616186254584e+17,10.367163,40.897134,m249,46.06353814052393
B035,10.385775,41.6424167,1,m31rbcV5,3.813370594550299e+17,10.385768,41.642395,m265,49.9425171423831
B036,10.3868,41.434775,1,m31rbcV5,3.8128207957158374e+17,10.386745,41.434778,m249,58.426383986290006
B037,10.3958208,41.2486611,1,m31rbcV5,3.8127558988938035e+17,10.395779,41.248635,m249,47.65573578863369
B038,10.3998208,41.3208083,1,m31rbcV5,3.812763801491766e+17,10.39981,41.320783,m249,51.64454615271919
B039,10.4078375,41.3472611,1,m31rbcV5,3.8127651759610816e+17,10.407829,41.347232,m249,53.78902319050648
B040,10.4119792,40.6817639,1,m31rbcV5,3.6914399089281306e+17,10.411846,40.681759,m249,63.172202547498294
PHF8-1,10.4146,40.6759389,1,m31rbcV5,3.691439908942861e+17,10.414545,40.675875,m228,63.76564114351149
B206D,10.4190875,40.8352278,1,m31rbcV5,3.6915155003584525e+17,10.419232,40.835172,m249,53.19639290010799
B042,10.423625,41.1239694,1,m31rbcV5,3.811686623718811e+17,10.423661,41.123964,m249,46.37973478030623
B043,10.4262875,40.7110611,1,m31rbcV5,3.6914419705257984e+17,10.42625,40.711104,m249,61.83763333441687
B044,10.4288042,41.3351028,1,m31rbcV5,3.812764488766368e+17,10.428798,41.335053,m249,54.5372515903846
B343,10.4295917,40.20625,1,m31rbcV5,3.690961964968421e+17,10.429637,40.206216,m228,31.06777787986362
B045,10.4296167,41.5722194,1,m31rbcV5,3.8128902453272435e+17,10.429617,41.572251,m265,56.95873128704623
B048,10.4396292,41.2252,1,m31rbcV5,3.812635983370944e+17,10.439632,41.225172,m249,50.14187940567331
B047,10.4398667,41.7011528,1,m31rbcV5,3.813377122819195e+17,10.439724,41.700878,m265,51.612304544842566
B049,10.4399792,40.8317639,1,m31rbcV5,3.6915137823546266e+17,10.439889,40.831902,m249,54.8793594468349
B050,10.4427792,41.5384667,1,m31rbcV5,3.812887153031777e+17,10.442827,41.538453,m265,59.94507069333819
B054,10.4486167,41.0153167,1,m31rbcV5,3.8116456926931494e+17,10.448652,41.015358,m249,48.73433708215445
B055,10.4599667,41.2034667,1,m31rbcV5,3.8126277370338726e+17,10.45995,41.203436,m249,51.048629558033454
B035D,10.4602583,41.3342389,1,m31rbcV5,3.812776514735977e+17,10.459975,41.334359,m249,56.736691556763255
B254,10.46055,41.2739111,1,m31rbcV5,3.812643198954212e+17,10.460547,41.273932,m249,53.742076464739725
B056,10.46315,40.9611278,1,m31rbcV5,3.811635084110573e+17,10.463189,40.961137,m249,51.15280701441453
