,Object ID,RADEG,DECDEG,Nearest field,Distance to nearest field
0,2M034,0.508375,51.6067222,m404,3.3224832576744694
1,2M035,1.549625,41.5037222,m267,0.614940209151506
2,C2,2.079166666666666,34.46861111111112,m095,0.36976445336715674
3,C3,2.14375,34.62722222222222,m095,0.4833794231321106
4,2M031,4.0892083,34.2000556,m092,0.4521134886191797
5,2M032,5.3965,48.2256111,m390,0.19737196621289746
6,2M012,6.0289167,44.9853333,m341,0.4494076814307989
7,2M018,6.37175,37.8405,m189,0.42022856936466996
8,2M023,6.4285,41.4265833,m255,0.3338212217364347
9,2M001,6.4777792,40.9516306,m255,0.3471264182758016
10,2M024,6.616625,44.2693611,m319,0.1869825655192694
11,2M014,6.8084167,35.8033611,m142,0.43326325689245154
12,2M019,6.879125,40.13375,m229,0.04863202631443385
13,2M010,7.28425,39.4765833,m205,0.313910462344291
14,2M011,7.329625,38.4212778,m183,0.23367002638521156
15,2M002,7.440875,37.4916667,m165,0.2899594162950875
16,2M003,7.7370417,45.3499722,m340,0.36158054375794113
17,2M009,7.8712083,40.8986944,m253,0.4192525371212659
18,2M004,7.907125,40.5711944,m231,0.43144215916576373
19,SH01,8.173075,40.02845,m231,0.15953500734120835
20,SK001B,8.346125,40.07797222222223,m231,0.1755173335761412
21,SK002B,8.384166666666665,39.85911111111111,m231,0.368410475169466
22,SK003C,8.3934292,40.1853472,m231,0.1728609975387942
23,SK004C,8.395666666666667,40.13786111111112,m231,0.1816464761696253
24,SK003B,8.404291666666666,39.68305555555556,m212,0.4528563338534063
25,SK005C,8.408499999999998,39.593250000000005,m212,0.39296841040229114
26,SK006C,8.442124999999999,39.81016666666667,m231,0.4325042310792055
27,SK007C,8.477625,39.57683333333334,m212,0.34035479150661624
28,B133D,8.545808333333332,39.847297222222224,m231,0.4473331869455426
29,SK008C,8.5478792,40.1330083,m231,0.2960821314295512
30,SK009C,8.550833333333332,40.10825,m231,0.30388623329505327
31,SK010C,8.611875,39.901555555555554,m231,0.4448579193888416
32,B411,8.628366666666665,41.56224722222222,m254,0.40239851885017475
33,SK004B,8.642499999999998,40.04705555555555,m231,0.389828883285703
34,G004,8.6642458,39.5780028,m212,0.24467544355840032
35,SK011C,8.713166666666664,39.92586111111111,m231,0.49326994973584515
36,BA21,8.7243,39.8279417,m212,0.46735521961017673
37,B412,8.7303375,41.54069166666667,m254,0.3696215297133863
38,G005,8.7585708,42.4863611,m276,0.32096056226589337
39,2M005,8.76975,42.5921111,m276,0.426994326195815
40,G006,8.7698875,42.5922861,m276,0.427178612328678
41,SK012C,8.786708333333333,40.12572222222222,m231,0.4775608686471422
42,SK013C,8.7885,40.09438888888889,m231,0.4840935247967845
43,B413,8.804170833333332,41.48550277777778,m254,0.31587239003166195
44,BA22,8.8067,39.76032222222222,m212,0.39352036744169294
45,G007,8.8071083,42.5884972,m276,0.4270669304410606
46,SK014C,8.811916666666665,39.69444444444444,m212,0.32754578758396724
47,DAO1,8.8287333,40.1530833,m233,0.4997316239885168
48,SK015C,8.835291666666665,39.58447222222223,m212,0.21757227579070118
49,SK016C,8.841666666666665,41.82983333333333,m276,0.3509330265665124
50,SK018C,8.872166666666665,41.70925,m276,0.4732672798123365
51,B134D,8.876241666666665,40.740233333333336,m254,0.44066865540075567
52,DAO2,8.8859083,40.3791694,m233,0.489878110515061
53,SK006B,8.892666666666667,41.19805555555556,m254,0.10540838541858297
54,SK007B,8.938583333333332,39.65591666666666,m212,0.30190471878010583
55,SK020C,8.95725,41.834,m276,0.37986926268042603
56,SK021C,8.961791666666667,39.60022222222222,m212,0.25601602497465165
57,SK022C,8.965666666666667,40.90322222222222,m254,0.3111073561629949
58,DAO3,8.9671417,40.3501694,m233,0.4216411382835436
59,B136D,8.9684833,39.9522444,m233,0.4604954411591535
60,2M025,8.9688333,37.8615278,m185,0.49064933133812005
61,SK023C,8.97125,41.85658333333333,m276,0.3655778018383078
62,SK024C,8.974291666666666,41.7285,m276,0.4801973736554029
63,SK025C,8.975916666666667,41.78161111111111,m276,0.4327187295676235
64,SK008B,8.992291666666667,39.62652777777778,m212,0.28987641837560674
65,SK009B,9.000958333333331,40.93866666666666,m254,0.29679045871724063
66,SK010B,9.007083333333332,39.813944444444445,m212,0.46844532210657536
67,SK011B,9.008416666666664,41.24538888888889,m254,0.20296448464168995
68,SK026C,9.023374999999998,39.96802777777778,m233,0.41651819539668244
69,DAO4,9.036675,39.9690667,m233,0.4074325641728062
70,SK027C,9.0520917,40.8773389,m254,0.368961673517878
71,B414,9.081275,42.2749722,m276,0.29397454840018233
72,B138D,9.0902792,41.4758722,m254,0.3939352154832599
73,SK029C,9.09275,39.867916666666666,m233,0.44113137919881684
74,SK030C,9.114,41.58722222222222,m254,0.4944196785282875
75,B140D,9.1282583,41.3646694,m254,0.3392681540180425
76,B141D,9.1291458,41.4773833,m254,0.4142031150338595
77,SK031C,9.130958333333332,42.10683333333333,m276,0.31655742098920964
78,SK013B,9.132083333,41.194805555555554,m254,0.2831788509530267
79,B294,9.1372833,40.4148528,m233,0.34239481807628364
80,SK032C,9.138999999999998,41.50086111111112,m254,0.43661583982999286
81,B142D,9.140962499999995,41.15221111111111,m254,0.28965489963591623
82,B143D,9.1486875,40.4709056,m233,0.37494916269188594
83,SK033C,9.157875,42.24616666666667,m276,0.3396260949815717
84,2M020,9.1714167,37.5815,m167,0.4024912077672802
85,B146D,9.1767625,41.6388667,m265,0.5405080729815573
86,SK034C,9.180916666666665,39.58227777777778,m212,0.34910702414917544
87,B147D,9.1851708,41.1407361,m254,0.3237904840818631
88,SK035C,9.194416666666664,41.43997222222222,m254,0.4241958416485317
89,B296,9.1953625,40.5131083,m233,0.38595606066624905
90,SK036C,9.196666666666664,40.06930555555556,m233,0.2503865543979534
91,SK037C,9.204958333333332,39.66213888888889,m212,0.4160256817725876
92,B148D,9.2090542,41.1196444,m254,0.34429667188781354
93,B415,9.2127083,40.5106778,m233,0.3766276625549402
94,B297,9.2144667,39.6438611,m212,0.40866149762422715
95,B149D,9.2335125,40.1478222,m233,0.19436322032457581
96,2M021,9.2552083,37.6445278,m167,0.4931335138828448
97,B416,9.2559708,39.8097194,m233,0.42116711460211487
98,B151D,9.2594417,39.8014111,m233,0.4277084697031674
99,SK041C,9.271166666666666,40.01841666666667,m233,0.2377564416947937
100,B417,9.2731208,42.0429306,m276,0.43453167718606783
101,B152D,9.2754792,42.4281028,m286,0.38449170580150066
102,SK042C,9.276166666666668,41.746805555555554,m265,0.4366305773324857
103,B418,9.3240917,40.1142639,m233,0.1438080966615553
104,B154D,9.3360042,42.3137472,m286,0.47041703316125355
105,B155D,9.3575958,40.0817222,m233,0.14654357914277794
106,B156D,9.359675,41.3173028,m249,0.4546354724535055
107,B419,9.3634417,39.7190972,m233,0.48346111230067407
108,SK046C,9.370541666666666,41.91719444444444,m265,0.3626287530558219
109,DAO11,9.3715792,39.9503389,m233,0.25767747873629926
110,2M022,9.3759583,36.4374722,m146,0.2952235010681788
111,SK017B,9.376833333333332,40.61216666666667,m233,0.42540855776752895
112,SK018B,9.378416666666666,40.30663888888888,m233,0.13685206762699895
113,B421,9.3867708,41.1251861,m249,0.36978148218001405
114,B158D,9.4029958,39.8364028,m233,0.3626461317442429
115,SK048C,9.405,40.09433333333334,m233,0.1153191289342944
116,SK049C,9.405291666666663,41.90122222222222,m265,0.33424416554728603
117,DAO12,9.4147833,39.7752472,m233,0.4219247655742499
118,SK050C,9.421958333333333,40.07858333333333,m233,0.1239444672543223
119,SK051C,9.424125,40.08833333333334,m233,0.1142706879485297
120,B159D,9.4420042,40.0868639,m233,0.11126018159989066
121,B160D,9.460825,40.1777278,m233,0.02228593358820404
122,B161D,9.4639833,40.1684333,m233,0.028662376532981773
123,B162D,9.4728833,40.0606278,m233,0.13365331549852622
124,SK022B,9.476291666666668,40.29075,m233,0.09665168139465628
125,B163D,9.4798583,39.8983528,m233,0.2958004403666
126,SK053C,9.503166666666663,42.04913888888888,m265,0.32851690564379626
127,B299,9.5081667,40.6963806,m249,0.4711602086383812
128,B424,9.5128,39.7563917,m233,0.4384584853821069
129,B166D,9.5567792,40.8573917,m249,0.3254304767396588
130,B425,9.5736708,39.6219972,m210,0.42948470064387145
131,B300,9.5777083,39.66635,m210,0.4725424702910021
132,B427,9.5946292,39.969375,m233,0.24113233492503383
133,B168D,9.6042875,39.6809194,m210,0.4839744118326675
134,B169D,9.606075,39.8686222,m233,0.339424678118082
135,SDSS2,9.612083333,40.20972222222223,m233,0.1016673543462188
136,B170D,9.6172208,39.7349861,m233,0.4709647527495658
137,B428,9.651025,40.7504583,m249,0.3682595584060239
138,B171D,9.6558708,40.6552694,m249,0.45373228648726077
139,B429,9.6612417,41.1530472,m249,0.17660316031225545
140,B173D,9.6822375,40.6963167,m249,0.4082489144862756
141,B174D,9.6992333,40.6848917,m249,0.4146973416763691
142,SK058C,9.701666666666666,40.05033333333333,m233,0.2219790567077428
143,B175D,9.701775,40.0756667,m233,0.20651148037104833
144,DAO22,9.7240417,39.8584861,m233,0.38397798403707695
145,B432,9.7465083,41.7210667,m265,0.1434806481210296
146,C044,9.756625,41.7202528,m265,0.14038722470200943
147,B433,9.7603875,40.0027917,m233,0.2871283006534717
148,DAO25,9.8054792,40.1255,m233,0.2576477977761328
149,B434,9.8132375,41.4876944,m265,0.35647747057934825
150,B435,9.8267875,40.8071528,m249,0.2732369214075574
151,B308,9.8289458,40.4925611,m233,0.39945176862102777
152,C14,9.884583333333332,40.85472222222222,m249,0.2235363463038298
153,B437,9.8872167,39.9210667,m233,0.41408106528647853
154,B438,9.8979458,40.0001667,m233,0.37360299879913816
155,B439,9.9173042,41.0374444,m249,0.052383577363811745
156,B184D,9.9532792,42.3866778,m286,0.48080257798883724
157,B241,9.9810375,41.2519583,m249,0.19178093471499078
158,B242,10.0041125,41.0160028,m249,0.11644460244543355
159,B243,10.0073458,41.1561611,m249,0.12751836235589198
160,B186D,10.009408333333331,39.386697222222224,m210,0.3151234579259506
161,B440,10.0095458,42.1656583,m265,0.34418840504332227
162,B002D,10.0150958,41.5510611,m265,0.3179077958207543
163,SK073C,10.017916666666666,40.23630555555555,m233,0.41251138509819757
164,B187D,10.0234917,41.5776472,m265,0.29637444946932884
165,C15,10.039583333333333,39.925,m233,0.5054900510983664
166,C16,10.058333333333332,39.0425,m210,0.33279750904358724
167,B188D,10.058491666666663,39.69189444444444,m210,0.5713552641173593
168,B320,10.0654542,41.8085167,m265,0.16618951606785762
169,B191D,10.074554166666664,42.42332777777778,m286,0.5170602359220485
170,B192D,10.1030083,40.6305111,m249,0.4800749864043819
171,B329,10.1031292,41.7899083,m265,0.19794476196971209
172,B004D,10.1095167,41.2285,m249,0.23280906415840488
173,B194D,10.1108167,39.9806639,m233,0.5273448536661738
174,B447,10.1111375,40.1184778,m233,0.4878605983766812
175,B446,10.1135292,41.6153167,m265,0.30235035847627234
176,B007,10.1136583,41.4860611,m265,0.4088593174485835
177,SK083C,10.1149208,41.3873722,m249,0.35862385333848973
178,BH07,10.1286208,41.4406639,m249,0.4101600959092978
179,C17,10.132916666666665,38.18666666666666,m184,0.31188226179900225
180,B245,10.1504167,41.1259,m249,0.21407223836147926
181,B014,10.1608458,41.2127333,m249,0.25484764336298854
182,B197D,10.1711292,39.9753222,m228,0.5187383937896469
183,SK090C,10.22108333333333,40.012027777777774,m228,0.4693765168523718
184,SK004E,10.2299167,41.9579722,m265,0.30697629321016523
185,B013D,10.2384333,41.4566639,m249,0.4674909654862947
186,SK005E,10.2507208,41.9278222,m265,0.3119722773127435
187,B199D,10.2646708,40.4981389,m228,0.513461324357061
188,B454,10.2666458,40.0251667,m228,0.43209334055313803
189,B455,10.2743792,39.6993778,m228,0.6245069504213636
190,B340,10.2866417,39.6267889,m210,0.6330185030679232
191,B202D,10.3086625,40.1044583,m228,0.3785862356951158
192,B250,10.3132583,41.5660111,m265,0.44480584496834447
193,B456,10.3392333,40.2522778,m228,0.3545055439825772
194,DAO46,10.3457417,40.47605,m228,0.45177658402959536
195,B204D,10.3896792,42.3434167,m285,0.5506280151926581
196,B023D,10.3901125,41.3589944,m249,0.4794857953808417
197,B025D,10.3928417,41.0183139,m249,0.3962017673863482
198,B026D,10.3931667,41.0138139,m249,0.3971608404990966
199,B251,10.4025083,41.0050778,m249,0.4056222934909151
200,C037,10.4033292,40.7901,m249,0.4931094306932709
201,B205D,10.4086583,40.5695278,m228,0.4873644043005593
202,C18,10.412083333333332,37.32611111111112,m169,0.25242436532314566
203,B252,10.4136125,41.5097889,m265,0.5385886272488197
204,B207D,10.437325,40.2685556,m228,0.28612447418417947
205,B052,10.4456625,41.6360472,m265,0.49218204949514643
206,SDSS5,10.446666666666664,41.73611111111112,m265,0.45950575514914616
207,B208D,10.4518042,40.2184972,m228,0.26401054309641814
208,B460,10.478404166666666,39.59041944444445,m209,0.5473143077563917
209,DAO51,10.4857333,40.383075,m228,0.3103592345303968
210,B062,10.5012167,41.6423583,m266,0.4790963109937968
211,B256,10.5044542,41.636425,m266,0.479584488366061
212,SK104C,10.512666666666664,40.06355555555555,m228,0.24470565943307584
213,B042D,10.5253333,41.0465917,m248,0.4110744891984554
214,B043D,10.5274167,41.3017306,m248,0.46441937283416357
215,B044D,10.5296292,41.0045972,m248,0.41342018738941627
216,SK094B,10.5326583,41.0193972,m248,0.40871455950433133
217,C20,10.53833333333333,38.9375,m209,0.4275998991755828
218,DAO53,10.5411625,40.6344611,m228,0.4931400066783789
219,DAO54,10.54575,40.31545,m228,0.23258010743599813
