RADEG,DECDEG,Nearest field,Distance to nearest field
10.72875892,34.40910186,m105,11.319695159369072
16.33174428,36.06839743,m138,10.026910199258245
16.00846808,36.04023932,m138,35.96549818363696
15.87223534,36.25702044,m138,47.71652152919022
12.40223259,35.56518993,m124,55.05194356803152
12.82639428,36.91374737,m166,44.33719551299091
14.2223505,36.08010407,m143,29.555461560677337
14.19634459,36.28306787,m143,22.03672937361924
14.38623856,38.01499954,m187,27.886199062082284
8.09932353,35.9069912,m144,43.92824778238451
7.44868636,35.42033828,m121,56.23129353319852
6.40498835,36.31215972,m142,23.426082827037085
11.83268653,36.85750255,m168,63.613573788907274
11.64704503,37.37288322,m168,29.221205491858115
12.94802588,37.62829968,m166,52.16312299818123
12.11056001,37.92834083,m188,31.239706151223928
13.75543995,38.67927691,m211,62.478779150575704
11.85480752,40.36166626,m235,26.699034123834124
10.98784033,40.23369241,m228,17.507983767840937
10.2881556,40.59803003,m228,63.1718535603351
11.45116439,40.63455004,m235,48.39383184042165
11.35432573,41.1061438,m248,24.115075110957516
10.9523851,40.71024448,m248,42.13981754787429
10.95762629,40.97071632,m248,15.21939591817069
11.01280086,41.08231377,m248,4.713750157952119
10.75811401,40.88398139,m248,33.910288204181576
10.64325126,40.95255492,m248,38.369980633070014
10.60435396,40.95489065,m248,41.336261525196534
10.61413038,40.99331953,m248,39.30705438043687
10.87708632,41.09507494,m248,16.17258440458501
10.87960373,41.30406227,m248,29.62917704188593
10.85829785,41.35879701,m248,35.765058695072604
11.16763556,41.25014262,m248,20.76455938515571
11.31118656,41.32692398,m248,34.233711985330196
10.98509888,41.3674726,m248,32.84896543746425
10.99236084,41.41063133,m248,37.44266977271842
11.01092615,41.42408091,m248,38.69223296171873
10.95174925,41.44809339,m248,42.20859772318687
11.0146166,41.51073618,m266,38.342114830354724
11.0960981,41.55175198,m266,33.445028038710404
11.24134703,41.48994752,m266,42.496329954209834
11.19327328,41.48826205,m266,41.58098791177035
18.56457599,39.74519634,m222,25.653033639291916
17.9014975,39.73328285,m223,61.61564675646359
15.60527387,38.82677346,m202,53.603622278152315
17.8252644,40.53404028,m245,69.12185612697499
16.38711634,40.73134312,m250,64.17273910737036
19.48590284,42.4704692,m287,49.34094124696422
15.44713144,40.40355115,m225,58.294658388163796
14.48289061,41.7158188,m274,57.00476473923681
14.71244336,42.54929157,m274,44.43172427293882
13.21989173,42.00862514,m275,28.328287932465592
11.99811114,41.59125832,m257,14.168999795330928
12.41583653,41.59160086,m257,21.304063090658172
11.99073257,41.81265612,m257,31.537102297341825
11.54306757,41.6278856,m266,45.916654399778004
11.61256175,42.03131767,m266,48.455263109695984
13.64936959,42.27620828,m275,18.07982408390343
15.52750225,42.80183706,m294,65.7433684827308
14.89397062,44.09413335,m316,5.985452782474668
14.34198451,45.3288,m337,49.81920842812367
14.49242154,46.1532323,m356,35.34066449308641
14.03278865,47.27527335,m375,36.471149176743225
6.71752319,38.74946961,m205,60.121813838794964
7.30307525,39.74646735,m229,60.932450263757964
7.16350038,39.85317341,m229,44.326879163219466
6.81771542,39.79232785,m229,43.516652042040946
6.87895096,39.85303688,m229,36.559049889868064
4.22011572,39.55010114,m203,54.516748772561854
8.66425173,39.57802379,m212,27.20842142420064
9.19474394,40.32839943,m233,28.476962380427302
9.89052797,40.5207296,m233,50.25422003496294
10.3105368,40.93082626,m249,40.16379143494688
10.31870686,40.98422546,m249,38.77546591480142
9.91737236,40.95067479,m249,14.639565683536057
10.12615403,41.26908731,m249,29.96960690820923
10.18822949,41.36941333,m249,41.73867640718758
9.5010598,40.73220508,m249,49.5883656106087
10.13525491,41.36227741,m249,38.441962202775784
10.07467303,41.37786471,m249,37.337252263119176
10.11034657,41.45739971,m249,46.59032902574149
9.63959827,41.34791658,m249,35.81794695743287
10.31058537,41.411173,m249,52.029577469843375
10.24616545,41.4117121,m249,48.44458869282186
10.93073526,41.56832516,m266,33.86811078019429
11.13834952,41.69104394,m266,18.59968812710759
11.17544043,41.73180199,m266,15.620191958173047
10.79315076,41.84199613,m266,23.6605729301845
10.59549091,41.87455345,m266,40.072369546044264
10.59536963,41.90762063,m266,40.46645475646905
10.13281721,41.65473204,m265,31.62680373092341
10.38577878,41.64240534,m265,49.94279971983043
10.43590255,41.77450291,m265,49.37469482308904
10.29938804,41.76367541,m265,38.49870914963378
10.56135803,42.02683913,m266,46.970969087956185
10.51772383,42.05736728,m266,51.675155841362624
10.19840688,42.14499183,m265,44.3543343108373
10.20200052,42.20305487,m265,49.585859216264495
9.02073044,42.03595112,m276,29.3648666765109
7.43743303,41.21923426,m253,5.056581148828033
7.41016947,43.48069443,m298,57.0978642163315
6.61974786,44.37198783,m319,28.82699722323766
6.48616043,44.40611134,m319,38.60374976329586
4.59414137,41.95809325,m272,21.282415457759775
1.54974643,41.68916681,m268,58.26186531317428
2.09135467,42.19274061,m268,26.81611982384138
3.95105577,42.85531293,m293,34.47973828272235
4.60665392,44.6536597,m335,62.83276427672325
11.00351034,42.58012344,m285,21.844139516464665
11.04173393,42.78272295,m285,13.165303265456032
10.9002978,44.98312628,m327,26.21286787607206
10.00909896,46.03554403,m347,49.171470286922364
6.99348834,44.78857446,m339,43.360779738233745
6.22325399,46.29545095,m359,45.78966895628179
8.806353,45.17717939,m340,50.117107970432606
8.8076201,46.00537912,m358,52.898606165562775
8.55306301,46.55377031,m358,54.49880528188121
7.03870209,47.40365611,m377,35.98033879409155
11.0777051,46.68355842,m364,14.161743269173906
10.28578244,46.08946345,m346,61.365062825509305
10.56133746,46.91460455,m364,32.98573152766381
10.16154569,47.32644038,m382,66.21349672802862
