,Object ID,RADEG,DECDEG,Nearest field,Distance to nearest field
0,308450708520051328,16.336431,29.349694,18,1.801658556429419
1,309013963417858048,19.192479,29.373932,16,0.9455346389714292
2,297195381648197376,22.162223,29.431756,7,0.5241748879035178
3,308420467655296768,17.350642,29.477303,31,1.739638882839247
4,309224210654444416,21.524008,29.706177,15,0.22787362363760946
5,309467378818723712,20.33798,30.372822,26,0.4052419537290322
6,309233766957578368,21.802705,29.900503,17,0.4878012570476863
7,310045442761225472,18.329422,30.086679,30,1.1296769458165752
8,310173638945499904,17.96719,31.037115,31,0.38457406220379575
9,310212023068298368,19.700064,30.379772,28,0.4650215196768358
10,310685191025757184,19.392978,31.988215,46,0.3245136645310563
11,310624889684661376,19.877649,31.866841,46,0.31531906327794945
12,310632277028628864,19.522252,31.804447,46,0.11213944960628491
13,311234053486176512,14.428196,29.453917,8,0.42978820034224585
14,310164675349147776,18.34939,31.025089,30,0.25256139679815887
15,310534970249216512,19.260823,31.632043,46,0.26658792526954794
16,311295763575827456,13.867349,29.6278,8,0.33058672552403745
17,310112792143414528,18.542014,30.93022,30,0.26859970887351087
18,312675685028842752,14.458097,31.484737,34,0.2164697545248202
19,310272564927395200,19.449063,30.760162,28,0.040158268552648604
20,310273801878097408,19.16335,30.570532,28,0.3446250100200073
21,310283697482791424,19.291307,30.788335,28,0.14887902510377585
22,310289160681145088,19.314082,30.909413,28,0.17029004064530104
23,310481369057408768,19.061672,31.033796,28,0.4181089931519635
24,310513770290731392,19.662198,31.373767,46,0.33494983122038025
25,312774709795106944,13.656051,31.413066,35,0.17220028414598748
26,312808932094517504,12.902998,31.325471,41,0.4840355337788367
27,312444547068814720,14.144032,30.259011,18,0.3638134972101608
28,312446608653195904,14.294257,30.230513,18,0.2400076520577622
29,311970756341247872,12.116621,29.430707,10,0.3179624774761808
30,312072774699939328,13.498086,29.972132,19,0.33729399710486785
31,312104037766776576,12.871069,29.945715,20,0.5817049467252302
32,312946130530088320,13.90612,32.185427,58,0.4873978277699776
33,312983818867113728,13.866578,32.350021,58,0.4429143048204629
34,311547719244651776,15.603309,30.052838,18,0.9289504338426882
35,312608232566844416,14.86149,31.240104,34,0.25857841444771934
36,312498113900557952,14.199332,30.792138,34,0.5863305333458181
37,312621980758216192,15.309273,31.230992,33,0.2190255380494286
38,312169493067997056,12.08027,29.624964,10,0.3902775293787311
39,311934442393303936,12.895909,29.401291,9,0.07818885651725858
40,313166891848953472,17.423564,31.158984,31,0.1296385170117963
41,313171908369970560,17.495096,31.167333,31,0.07131011037920071
42,313172423766526848,17.576348,31.21513,31,0.013067896415736366
43,313201698263924096,17.699948,31.474258,31,0.2911700923303038
44,312882358855657344,13.830973,31.749219,35,0.5184730392031816
45,313302368001631872,16.106974,31.056905,32,0.4260045405112536
46,313308144733124864,16.171378,31.080392,32,0.3660485016484104
47,312229931847530112,11.646994,29.863805,10,0.5256262678388174
48,312255774666282752,11.732179,30.200946,21,0.43010579410188116
49,312298140224252288,12.656703,30.091766,20,0.3460591564174831
50,313210150759544320,17.972214,31.692492,50,0.5355582217049438
51,313226123743397888,17.306045,31.39868,31,0.29215912068760996
52,313250695250632832,17.641015,31.616841,31,0.41489798438734354
53,313038901822661888,17.291013,30.522509,31,0.7236981008358655
54,312546561132324352,14.088517,30.890359,34,0.5693942396191823
55,312559858351049984,14.245235,31.152344,34,0.3047474403731245
56,313570412615436928,18.351405,31.635004,30,0.47311787468918554
57,313601469524018048,18.763221,31.933288,49,0.164862551311194
58,314118587882266496,18.253862,33.958262,90,0.4354320239851986
59,314150473719392896,15.301937,31.780421,52,0.5349491241938747
60,314017600315271040,18.127503,33.334552,70,0.32767409837777683
61,314246749706098176,15.538451,32.476706,52,0.27821107625247693
